33,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2,3,2
28,31,2,2,28,34,1,133,1,1,1,34,1,2,30,28,34,1,1
28,37,2,34,28,3,1,1,36,1,3,1,1,1,1,28,28,1,34
28,28,27,28,28,28,1,28,1,34,1,1,3,1,34,28,28,27,28
28,28,27,28,28,28,29,28,29,28,29,29,34,1,28,28,30,27,1
3,34,27,28,1,1,30,30,30,28,28,28,29,29,28,30,18,15,34
1,1,1,1,164,1,34,1,3,2,3,1,30,30,28,34,16,3,3
2,1,3,1,21,15,19,3,2,3,1,1,18,15,15,15,20,1,2
3,2,2,34,1,1,21,34,3,3,1,34,16,3,3,1,97,1,1
34,1,3,2,1,3,3,16,1,1,1,1,16,100,1,1,1,1,34
15,15,15,15,34,2,2,21,15,19,34,3,21,15,19,34,1,1,1
3,1,3,2,16,1,34,2,1,16,1,2,34,1,16,2,3,1,3
1,1,1,34,21,15,19,3,34,21,15,19,2,2,34,15,15,15,15
34,1,1,1,1,167,16,1,1,1,1,16,3,3,1,2,3,1,34
1,1,164,1,3,3,16,34,1,3,3,34,19,1,1,34,2,2,3
2,1,18,15,15,15,20,1,1,3,2,3,21,15,19,1,3,1,2
3,3,16,34,28,29,29,1,3,2,3,1,34,1,97,1,1,1,1
34,15,20,29,28,30,30,28,28,28,29,29,29,1,1,28,27,34,3
1,27,29,28,28,1,34,30,30,28,30,28,30,28,28,28,27,28,28
28,27,28,28,34,1,3,1,1,34,1,28,1,28,28,28,27,28,28
34,1,28,28,1,1,1,1,3,1,36,1,1,3,28,34,2,37,28
1,1,34,28,29,2,1,34,1,1,1,133,1,34,28,2,2,32,28
2,3,2,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,33
