33,30,33,31,3,1,34,1,3,1,34,15,15,22,15,39,15,19,28,28,33
31,34,32,31,1,18,24,15,19,1,1,1,3,34,110,102,108,25,26,36,28
33,29,31,1,34,20,3,1,42,1,3,1,1,21,19,3,112,35,28,27,28
30,30,1,3,1,1,1,1,21,15,15,34,1,2,21,19,104,108,28,2,32
3,1,34,1,18,15,34,1,3,1,1,1,3,1,1,34,114,34,33,39,32
1,18,20,1,16,3,1,1,34,1,3,1,1,1,1,1,101,21,19,3,32
34,23,1,1,34,1,1,18,24,15,22,15,15,19,3,1,114,1,21,34,32
1,16,1,3,1,1,18,34,1,1,34,1,1,34,19,1,109,1,3,1,1
3,21,34,1,1,133,20,1,3,1,1,1,3,1,16,1,3,18,34,19,1
1,1,1,1,1,1,1,1,1,29,29,29,1,1,16,1,18,20,1,21,19
34,1,2,1,34,1,3,1,34,32,145,31,34,1,3,1,34,1,2,1,34
21,19,1,18,20,1,16,1,1,30,30,30,1,1,1,1,1,1,1,1,1
1,21,34,20,3,1,16,1,3,1,1,1,3,1,18,133,1,1,34,19,3
1,1,3,1,107,1,21,34,1,1,34,1,1,34,20,1,1,3,1,16,1
31,34,19,1,114,1,3,21,15,15,24,15,22,20,1,1,34,1,1,25,34
31,3,21,19,101,1,1,1,1,1,3,1,34,1,1,3,16,1,18,20,1
31,44,33,34,114,34,1,1,3,1,1,1,3,1,34,15,20,1,34,1,3
31,2,28,110,106,21,19,2,1,34,15,15,19,1,1,1,1,3,1,29,29
28,27,28,35,112,3,21,19,1,1,3,1,47,1,3,18,34,1,32,30,33
28,36,26,23,110,102,108,34,3,1,1,1,21,15,22,20,1,32,31,34,32
33,28,28,21,15,44,15,24,15,15,34,1,3,1,34,1,3,32,33,29,33
